id|job_title|location|salary_currency|career_level|experience_level|education_level|employment_type|job_function|job_benefits|company_process_time|company_size|company_industry|job_description
32183|PEOPLE DEVELOPMENT ASSISTANT MANAGER|Jakarta Raya|IDR|Manajer/Asisten Manajer|5 tahun|Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)|Penuh Waktu|Pendidikan/Pelatihan,Pelatihan & Pengembangan|Kasual (contoh: Kaos);BPJS Kesehatan & BPJS TK;Mondays - Saturdays||201 - 500 pekerja|Umum & Grosir|"PT Sumber Bintang Perkasa (SBP) adalah induk perusahaan PT Bintang Hartono Jaya, PT Mitra Aksesoris Indonesia & PT Bintang Terang Perkasa. Semua perusahaan di bawah SBP Group mengelola berbagai jenis lingkungan bisnis. PT Bintang Hartono Jaya (BHJ) fokus pada grosir dan PT Mitra Aksesoris Indonesia (MAI) fokus pada penjualan retail dan online kepada pelanggan. Di sisi lain, PT Bintang Terang Perkasa (BTP) adalah perusahaan manufaktur untuk produk tekstil & hiasan rambut. Memberikan kualitas terbaik di pasar adalah bagian dari komitmen kami.Karena pertumbuhan eksponensial kami, kami mencari kandidat terbaik dan tercerdas untuk bergabung dan tumbuh bersama kami. Kami mencari orang-orang yang menyenangkan, kreatif, dan energik untuk menjadi bagian dari Gamechanger!Kualifikasi : Memiliki Pendidikan minimal S1 semua jurusanUsia Maksimal 30 TahunMinimal 5 tahun pengalaman sebagai People Development Supervisor/ Ass. ManagerMemiliki kepribadian, komunikasi, kepemimpinan yang baikPenempatan Asemka, Jakarta BaratTanggung Jawab :Menyusun dan menjalankan program Talent Management ( lebih disukai jika pernah menjalankan program MT)Meningkatkan pusat pembelajaran yang terpusatMendorong nilai-nilai perusahaan melalui berbagai program pengembanganMenyusun, memantau, dan mengevaluasi pelaksanaan ""Individual Development Plan"" (IDP)Melakukan pelatihan internal, mengevaluasi program pelatihan dan pengembangan, memahami teknik e-learningMenyusun, melaksanakan dan mengevaluasi program pelatihan baik pelatihan melalui tatap muka atau virtual untuk mengoptimalkan efektivitas pelatihan, biaya pelatihan, atau dampak lingkungan.Benefit :Competitive SallaryBPJSTravel AllowanceTHRPassionate, Energetic and Innovative CultureWe'll always open for new family member. We're learning, studying, sharing and have fun together. YOU should join us!"
32184|Software Tester|Jawa Tengah|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Komputer/Teknologi Informasi,IT-Perangkat Lunak|Tip;Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Parkir;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos);Various free Entertainments|1 day|51 - 200 pekerja|Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)|Responsibilities :Use and test software to identify and eliminate bugs in applications.Performe specific tests, examines all aspects of a product from an end-user's perspectiveTest software integration (OAuth, Basic Auth, SAML)Requirement :Candidate must possess at least a Diploma, Bachelor's Degree, Computer Science/Information Technology, Engineering (Computer/Telecommunication) or equivalent.Required skill(s): having programming knowledge at least PHP programming, familiar with web environment, knowledgeof multiple browsers behaviors (Internet Explorer, Firefox, Opera, Safari), able to read test case, english is a must on creating test documents.At least 1 year(s) of working experience in the related field is required for this position.Preferably Staff (non-management & non-supervisor)s specializing in IT/Computer - Software or equivalent.Full-Time position(s) available.
32185|KEY ACCOUNT MANAGER|Banten|IDR|Manajer/Asisten Manajer|3 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan Ritel|Tip;Bisnis (contoh: Kemeja);Monday to Saturday||1- 50 pekerja|Umum & Grosir|Bertanggung jawab untuk pertumbuhan bisnis pencapaian penjualan dan menangani semua Pasar Perdagangan modern dan UmumMengelola program dan melaksanakan tujuan penjualan untuk wilayah dan pencapaian target penjualan NasionalMengembangkan hubungan dengan Mitra Saluran Baru, strategi tim akun utama dan panduan inisiatif umta untuk tim akun utamaMenganalisa data penjualan-masuk & penjualan-keluar, pangsa pasar dan pertumbuhan penjualan melalui tinjauan bisnis dengan akun-akun utama untuk kemajuan penjualanMembuat secara rutin Laporan sasaran penjualan triwulanan dan bulanan
32186|Accounting Tax Staff|Jakarta Raya|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan|Asuransi kesehatan;Bisnis (contoh: Kemeja);Income Tax , BPJS Ketenagakerjaan;Monday-Saturday|30 days|1- 50 pekerja|Manufaktur/Produksi|Requirements:Candidate must possess Bachelor's Degree, Economics, Finance/Accountancy/Banking,BusinessStudies/Administration/Management, Commerce or equivalent.Required skill(s): Microsoft Excel , Microsoft Word , Accurate Accounting Software , E-SPT , E-Faktur , correspondence by electronic mailRequired language(s): Bahasa Indonesia , Mandarin ( prefer )At least 1 year(s) of working experience in the related field is required for this position.Fresh graduate are welcome to apply2 Full-Time position(s) available.Willing to learn , have a initiative and honest person.Attention to detail is a must , loyal and able to work overtime ( depends on request from superior ) Understand basic principles of accountingHave a passion in accounting and tax fieldHave or know work ethic and know how to work as a team or individual Job Descriptions:Manage Inventory , Bank , Sales and Purchase ModuleAssist supervisor or manager with Accurate Accounting System , Prepares General Ledger by maintaing records and files , answer accounting and financial questions by researching and interpreting data.Understand tax application such as E-SPT PPh Article 4 (2) , 23 and E-Fakturif needed correspondence with vendor , manage import matterMake Sales Invoice , Tax Invoice , arrange delivery Sales and Tax Invoice to customer and follow up for customer paymentMake Purchase Invoice , arrange paymentBank reconcile
32187|SALES MARKETING|Jakarta Barat|IDR|Supervisor/Koordinator|5 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis|Asuransi kesehatan;Parkir;Bisnis (contoh: Kemeja)|13 days|51 - 200 pekerja|Makanan & Minuman/Katering/Restoran|Candidate must possess at least Bachelor's Degree in Business Studies/Administration/Management or equivalent.Required language(s): English, Mandarin, JapaneseAt least 5 Year(s) of working experience in FMCG is required for this position.Preferably Supervisor/Coordinator specialized in Marketing/Business Development or equivalent.Having own vehicle for mobilityAbility to work effectively under pressure and meet established goals and objectivesInitiates sales process by prospecting, scheduling appointments, making initial presentation, understanding business needs, developing proposals, closing sales Living in north/west Jakarta preferable
32188|Store Supervisor Jakarta|Jakarta Raya|IDR|Supervisor/Koordinator|1 tahun|Tidak terspesifikasi|Penuh Waktu|Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran|Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)|27 days|201 - 500 pekerja|Makanan & Minuman/Katering/Restoran|Tanggung Jawab:Memeriksa & memastikan kebersihan dan kerapihan outletMemimpin, melakukan dan mengevaluasi seluruh bagian operasional setiap harinyaMemeriksa dan memastikan keakuratan dokumen (General Cleaning, Daily Cleaning, Stock Opname, Checklist dokumen)Memimpin semua crew outlet dan bertanggung jawab terhadap operasional outlet di hari tersebutMeneruskan dan menjalankan informasi dari Kantor PusatMengontrol dan memastikan stok opname dan buffer stock setiap harinyaMenginput stock opname ke komputerMembuat dan mengatur jadwal kerja karyawan setiap bulannyaMembagi karyawan untuk setiap section setiap harinyaMembimbing dan memonitor crew baru serta memastikan pelatihan berjalan sesuai dengan yang seharusnyaMelakukan Grooming Check dan memimpin daily briefing setiap harinyaMenyampaikan, memonitor serta memastikan target outlet yang telah ditetapkan dapat tercapai setiap harinyaPersyaratan:Pendidikan terakhir S1/D3 lebih disukaiMemiliki pengalaman sebagai Store Supervisor di FnB Industry minimal 1 tahunUsia maksimal 32 tahunBerkomitmen tinggi, ramah, energik, dan memiliki sikap positifHarus memiliki keterampilan manajerial dan komunikasi yang kuatPenempatan outlet di AEON JGC dan fX Sudirman
32189|Admin Onlineshop|Tangerang|IDR|Supervisor/Koordinator|1 tahun|Tidak terspesifikasi|Penuh Waktu|Sumber Daya Manusia/Personalia,Staf / Administrasi umum||||Retail/Merchandise|KUALIFIKASI :Bertempat tinggal di sekitar Green Lake CityPendidikan minimum SMA/SMK/D3 semua jurusan.Memiliki pengetahuan di bidang marketplace dan online shop.Memiliki kemampuan menjalankan aplikasi spreadsheet (google sheet/microsoft excel)Memiliki Manajemen waktu yang baikMempunyai sikap positif dalam bekerja: inisiatif, kreatif, inovatif, jujurKeterampilan komunikasi, good attitude, dan handle pelanggankirim CV ke WA: 0838-1934-2453
32190|Field Collection|Bengkulu|IDR|Lulusan baru/Pengalaman kerja kurang dari 1 tahun||SMA, SMU/SMK/STM|Kontrak|Akuntansi / Keuangan,Perbankan / Jasa Finansial |Asuransi Gigi;Asuransi kesehatan;Pinjaman;Olahraga (contoh: pusat kebugaran);Parkir;Waktu regular, Senin - Jumat;Bonus;Smart Casual Business|16 days|Lebih dari 5000 pekerja|Perbankan/Pelayanan Keuangan|Deskripsi Pekerjaan Melakukan kunjungan langsung kepada Pelanggan untuk mengingatkan pembayaran cicilan yang telah jatuh tempoPersyaratanPendidikan Minimal SMA/SederajatMemiliki Sepeda Motor dan SIM C AktifFamiliar dengan sekitar area domisiliBenefit Jenjang karirPengahasilan PokokReward InsentifTunjangan KesehatanTunjangan TransportTunjangan Komunikasi
32191|ASPR Jawa Tengah, Padang, Palembang, Bali, Pontianak|Bali|IDR|Pegawai (non-manajemen & non-supervisor)|3 tahun|SMA, SMU/SMK/STM|Penuh Waktu|Penjualan / Pemasaran,Penjualan - Korporasi|Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)|28 days|201 - 500 pekerja|Manufaktur/Produksi|Kualifikasi :-         Pendidikan minimal D3-         Usia maksimal 35 tahun-         Pengalaman minimal 1 tahun-         Fresh Graduated Welcome-         Penampilan menarik-         Komunikatif, persuasif-         Jujur, gigih, rajin, pekerja keras-         Siap underpreasure-         Bersedia di Jawa Tengah, Padang, Palembang, Bali, Pontianak Deskripsi Pekerjaan:-         Mensosialisasikan product PT. Mero Sekawan Jaya-         Meningkatkan penjualan-         Mensupervisi team distributor-         Menjaga availability product di area tanggung jawabnya
32192|Crew Outlet|Pekanbaru|IDR|Pegawai (non-manajemen & non-supervisor)||SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma)|Paruh Waktu|Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran||||Makanan & Minuman/Katering/Restoran|Kriteria :Usia Maksimal 27 tahunMinimal SMK/ SederajatBelum berkeluargaBerpenampilan menarikSehat dengan badan idealMampu berkomunikasi dengan baikTidak dalam masa kuliahLamaran dapat diantarkan langsung
32193|Supervisor Admin|Bekasi|IDR|Supervisor/Koordinator|2 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan|Asuransi kesehatan;Bisnis (contoh: Kemeja);Jamsostek|14 days|1001 - 2000 pekerja|Manufaktur/Produksi|Tugas dan Tanggung Jawab:Memastikan proses kelayakan calon pelanggan sesuai dengan prosedur Memastikan proses order, retur, maupun penagihan piutang pelanggan berjalan sesuai dengan prosedurMemastikan proses pengiriman dan penerimaan barang berjalan sesuai dengan prosedurMengelola budget operasional cabang Kualifikasi:Usia maksimal 35 tahunMemiliki pengalaman sebagai supervisor administrasi minimal 2 tahun di bidang Material Building (diutamakan) atau FMCGPendidikan terakhir minimal D3 semua jurusan (diutamakan jurusan Akuntansi, Manajemen, Administrasi Bisnis, SCM)Mahir dalam penggunaan Microsoft Excel (PIVOT, HLOOKUP, VLOOKUP)Memahami sistem distribusi diutamakanMemiliki kemampuan komunikasi yang baik, teliti, cekatan, dan tidak mudah menyerahSiap melakukan perjalanan dinas keluar kota jika dibutuhkanBerdomisili dan siap ditempatkan di area:BekasiPolewali MandarSerangJakarta UtaraJika berminat namun lokasi tidak ada dalam list, silakan cantumkan domisili spesifik sebelum apply.
32194|Merchandiser/Buyer Associate Manager|Jakarta Raya|IDR|Manajer/Asisten Manajer|5 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Manufaktur,Pembelian/Manajemen Material|Asuransi kesehatan;Pinjaman;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)||1001 - 2000 pekerja|Retail/Merchandise|Job Descriptions :Perform Merchandise Plan (Analyze, Product purchase, allocation) in order to ensure the availability of the right products Plan vs ActualPerform Inventory Management to ensure availability of the right products Aging Stock, Controlling stock, analyze Execute Promotion Plan, New product plan (Product knowledge & coordinate with trainers) to maximize salesMonitoring and Analyze business growth by doing store visit and business reviewIn Line with Marketing Campaign Monthly Produce regular reports to provide brand data Brand performance weekly & monthly, rejected reports monthlyQualifications :Minimum Diploma or Bachelor degree, preferably majoring in Fashion Business/Fashion Marketing/MerchandisingAt least 5 years experienced in fashion retail merchandising, preferably within Multi-Brand environmentAdvanced planning and analytical skills, including computer skillsConfidence in suggesting calculated risksStrong customer awareness and understandingPassionate about product, strong market and brand awarenessDiscreet, professional and well spoken, with excellent communication skillsTime keeping & ability to meet stringent deadlinesProficient in using Microsoft Office ExcelFluent in written and spoken English
32195|PROJECT MANAGER INTERIOR|Jakarta Barat|IDR|CEO/GM/Direktur/Manajer Senior|5 tahun|Sarjana (S1)|Penuh Waktu|Bangunan/Konstruksi,Arsitek/Desain Interior|Tip;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)|28 days|1- 50 pekerja|Pelayanan Arsitek/Desain Interior|Tugas dan tanggung jawabMembuat laporan proyek kepada pihak Management per-hari, minggu dan bulan.Membuat Schedule Planning ProjectMenyusun Rencana Mutu Proyek termasuk jadwal serta metoda kerja pelaksanaan proyekMenyusun Rencana Anggaran Proyek InteriorMemimpin kegiatan pelaksanaan proyek sesuai persyaratan mutu, waktu dan biaya yang telah disepakati oleh ManajemenMemantau proses kegiatan proyek di lapangan dan segera mengambil langkah koreksi bila terjadi penyimpanganMengidentifikasi dan menyelesaikan masalah yang timbul selama proses kegiatan pembangunan proyek interiorMenjamin persetujuan Berita Acara Progres pekerjaan dari pemberi tugas dan memantau kelancaran proses tagihan sehingga tepat waktuMembina hubungan kerja/relasi yang baik dengan pemberi tugas (owner), konsultan, sub kontraktor dan supplierMenjamin keselamatan kerja dan kebersihan lingkungan kerja selama pelaksanaan proyekKualifikasi :Pendidikan minimal S1 Teknik Arsitektur / Interior / SipilPengalaman minimal 5 tahun sebagai Manajer Proyek di perusahaan kontraktor untuk PROYEK INTERIOR perkantoran, rumah tinggal dan bangunan komersialMenguasai manajemen proyek & K3Lancar menggunakan Ms. Project & Ms. OfficeBerorientasi pada targetKomunikatif, mempunyai jiwa kepemimpinan, mampu mengatasi masalah, dan mampu menampilkan laporan-laporan yang informatifIntegritas, jujur dan suka bekerja secara timBersedia ditempatkan di seluruh lokasi proyek (Jabodetabek atau luar kota)
